Symbol,Z,elecPau,atradrahm
H,1,2.2,1.54
He,2,,1.34
Li,3,0.98,2.2
Be,4,1.57,2.19
B,5,2.04,2.05
C,6,2.55,1.9
N,7,3.04,1.79
O,8,3.44,1.71
F,9,3.98,1.63
Ne,10,,1.56
Na,11,0.93,2.25
Mg,12,1.31,2.4
Al,13,1.61,2.39
Si,14,1.9,2.32
P,15,2.19,2.23
S,16,2.58,2.14
Cl,17,3.16,2.06
Ar,18,,1.97
K,19,0.82,2.34
Ca,20,1,2.7
Sc,21,1.36,2.63
Ti,22,1.54,2.57
V,23,1.63,2.52
Cr,24,1.66,2.33
Mn,25,1.55,2.42
Fe,26,1.83,2.26
Co,27,1.88,2.22
Ni,28,1.91,2.19
Cu,29,1.9,2.17
Zn,30,1.65,2.22
Ga,31,1.81,2.33
Ge,32,2.01,2.34
As,33,2.18,2.31
Se,34,2.55,2.24
Br,35,2.96,2.19
Kr,36,,2.12
Rb,37,0.82,2.4
Sr,38,0.95,2.79
Y,39,1.22,2.74
Zr,40,1.33,2.68
Nb,41,1.6,2.51
Mo,42,2.16,2.44
Tc,43,2.1,2.41
Ru,44,2.2,2.37
Rh,45,2.28,2.33
Pd,46,2.2,2.15
Ag,47,1.93,2.25
Cd,48,1.69,2.38
In,49,1.78,2.46
Sn,50,1.96,2.48
Sb,51,2.05,2.46
Te,52,2.1,2.42
I,53,2.66,2.38
Xe,54,2.6,2.32
Cs,55,0.79,2.49
Ba,56,0.89,2.93
La,57,1.1,2.84
Ce,58,1.12,2.82
Pr,59,1.13,2.86
Nd,60,1.14,2.84
Pm,61,1.13,2.83
Sm,62,1.17,2.8
Eu,63,1.2,2.8
Gd,64,1.2,2.77
Tb,65,1.1,2.76
Dy,66,1.22,2.75
Ho,67,1.23,2.73
Er,68,1.24,2.72
Tm,69,1.25,2.71
Yb,70,1.1,2.77
Lu,71,1.27,2.7
Hf,72,1.3,2.64
Ta,73,1.5,2.58
W,74,1.7,2.53
Re,75,1.9,2.49
Os,76,2.2,2.44
Ir,77,2.2,2.33
Pt,78,2.2,2.3
Au,79,2.4,2.26
Hg,80,1.9,2.29
Tl,81,1.8,2.42
Pb,82,1.8,2.49
Bi,83,1.9,2.5
Po,84,2,2.5
At,85,2.2,2.47
Rn,86,,2.43
Fr,87,0.7,2.58
Ra,88,0.9,2.92
Ac,89,1.1,2.93
Th,90,1.3,2.89
Pa,91,1.5,2.85
U,92,1.7,2.83
Np,93,1.3,2.8
Pu,94,1.3,2.78
Am,95,,2.76
Cm,96,,2.76
